数据库：分省年度数据
指标：全体居民人均可支配收入(元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,75002,69434,67756,62361,57230,52530,48458,44489,40830,36817,33176,29228,26571,24371,21458,19296,16853
天津市,47449,43854,42404,39506,37022,34074,31291,28832,26359,24030,21714,19266,16967,15444,13116,11526,10255
河北省,29383,27136,25665,23446,21484,19725,18118,16647,15190,13647,12059,10428,9267,8365,7233,6295,5581
山西省,27426,25214,23828,21990,20420,19049,17854,16538,15120,13592,11959,10149,8911,8333,7282,6235,5518
内蒙古自治区,34108,31497,30555,28376,26212,24127,22310,20559,18693,16800,14715,12538,11015,9923,8340,6876,5985
辽宁省,35112,32738,31820,29701,27835,26040,24576,22820,20818,18761,16429,13953,12183,11125,9421,7937,6979
吉林省,27770,25751,24563,22798,21368,19967,18684,17520,15998,14395,12621,10798,9671,8921,7791,6757,6010
黑龙江省,27159,24902,24254,22726,21206,19838,18593,17404,15903,14302,12605,10846,9643,8877,7656,6748,6048
上海市,78027,72232,69442,64183,58988,54305,49867,45966,42174,38550,34731,30436,27500,25385,22459,19647,17738
江苏省,47498,43390,41400,38096,35024,32070,29539,27173,24776,22432,19820,17006,14653,13237,11574,9947,8712
浙江省,57541,52397,49899,45840,42046,38529,35537,32658,29775,27020,24195,21159,18528,17073,15351,13550,12093
安徽省,30904,28103,26415,23984,21863,19998,18363,16796,15154,13593,11873,9955,8683,7893,6724,5573,4777
福建省,40659,37202,35616,32644,30048,27608,25404,23331,21218,19141,16909,14566,12985,11785,10138,8948,8042
江西省,30610,28017,26262,24080,22031,20110,18437,16734,15100,13567,11870,10217,9094,8208,7097,5894,5223
山东省,35705,32886,31597,29205,26930,24685,22703,20864,19008,17127,15077,12922,11398,10411,9085,7795,6860
河南省,26811,24810,23903,21964,20170,18443,17125,15695,14204,12772,11206,9520,8426,7637,6493,5409,4668
湖北省,30829,27881,28319,25815,23757,21787,20026,18283,16472,14809,12941,11069,9496,8643,7430,6304,5628
湖南省,31993,29380,27680,25241,23103,21115,19317,17622,16005,14391,12612,10861,9745,8804,7587,6364,5664
广东省,44993,41029,39014,35810,33003,30296,27859,25685,23421,21268,18916,16579,14728,13605,12238,11147,10150
广西壮族自治区,26727,24562,23328,21485,19905,18305,16873,15557,14082,12644,11054,9739,8655,7839,6614,5353,4870
海南省,30457,27904,26679,24579,22553,20653,18979,17476,15733,14180,12392,10342,9151,8325,7186,6084,5322
重庆市,33803,30824,28920,26386,24153,22034,20110,18352,16569,14924,13037,10984,9688,8756,7520,6632,5942
四川省,29080,26522,24703,22461,20580,18808,17221,15749,14231,12753,11130,9373,8214,7413,6322,5247,4703
贵州省,23996,21795,20397,18430,16704,15121,13697,12371,11083,9850,8594,7226,6099,5533,4817,4016,3625
云南省,25666,23295,22082,20084,18348,16720,15223,13772,12578,11233,9739,8184,7170,6492,5469,4664,4197
西藏自治区,24950,21744,19501,17286,15457,13639,12254,10730,9740,8568,7510,6628,5807,5249,4609,3828,3630
陕西省,28568,26226,24666,22528,20635,18874,17395,15837,14372,12885,11229,9412,8122,7263,5974,5029,4395
甘肃省,22066,20335,19139,17488,16011,14670,13467,12185,10954,9768,8463,7358,6454,5782,5037,4428,3962
青海省,25920,24037,22618,20757,19001,17302,15813,14374,12948,11470,10024,8659,7553,6808,5916,5113,4587
宁夏回族自治区,27905,25735,24412,22400,20562,18832,17329,15907,14566,13104,11480,9864,8742,7924,6630,5576,4918
新疆维吾尔自治区,26075,23845,23103,21500,19975,18355,16859,15097,13670,12151,10443,9042,7656,7012,6273,5290,4707
数据来源：国家统计局
